"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
50000,114,0.25,1,500,10871,342,1,3,1000,100,100,1
10000,115,0.25,1,100,78075,343,1,3,1000,100,100,1
25000,115,0.25,1,250,29063,344,1,3,1000,100,100,1
50000,115,0.25,1,500,61307,345,1,3,1000,100,100,1
10000,116,0.25,1,100,60711,346,1,3,1000,100,100,1
25000,116,0.25,1,250,93581,347,1,3,1000,100,100,1
50000,116,0.25,1,500,11432,348,1,3,1000,100,100,1
10000,117,0.25,1,100,89142,349,1,3,1000,100,100,1
25000,117,0.25,1,250,90549,350,1,3,1000,100,100,1
50000,117,0.25,1,500,72277,351,1,3,1000,100,100,1
10000,118,0.25,1,100,6503,352,1,3,1000,100,100,1
25000,118,0.25,1,250,4572,353,1,3,1000,100,100,1
50000,118,0.25,1,500,37070,354,1,3,1000,100,100,1
10000,119,0.25,1,100,72904,355,1,3,1000,100,100,1
25000,119,0.25,1,250,64074,356,1,3,1000,100,100,1
50000,119,0.25,1,500,69462,357,1,3,1000,100,100,1
10000,120,0.25,1,100,50977,358,1,3,1000,100,100,1
25000,120,0.25,1,250,62181,359,1,3,1000,100,100,1
50000,120,0.25,1,500,75643,360,1,3,1000,100,100,1
10000,121,0.25,1,100,75738,361,1,3,1000,100,100,1
25000,121,0.25,1,250,33730,362,1,3,1000,100,100,1
50000,121,0.25,1,500,62945,363,1,3,1000,100,100,1
10000,122,0.25,1,100,23274,364,1,3,1000,100,100,1
25000,122,0.25,1,250,99208,365,1,3,1000,100,100,1
50000,122,0.25,1,500,83243,366,1,3,1000,100,100,1
10000,123,0.25,1,100,67622,367,1,3,1000,100,100,1
25000,123,0.25,1,250,76078,368,1,3,1000,100,100,1
50000,123,0.25,1,500,58491,369,1,3,1000,100,100,1
10000,124,0.25,1,100,12870,370,1,3,1000,100,100,1
25000,124,0.25,1,250,27078,371,1,3,1000,100,100,1
50000,124,0.25,1,500,40712,372,1,3,1000,100,100,1
10000,125,0.25,1,100,98714,373,1,3,1000,100,100,1
25000,125,0.25,1,250,50456,374,1,3,1000,100,100,1
50000,125,0.25,1,500,58107,375,1,3,1000,100,100,1
10000,126,0.25,1,100,78605,376,1,3,1000,100,100,1
25000,126,0.25,1,250,22227,377,1,3,1000,100,100,1
50000,126,0.25,1,500,24454,378,1,3,1000,100,100,1
10000,127,0.25,1,100,19954,379,1,3,1000,100,100,1
25000,127,0.25,1,250,45141,380,1,3,1000,100,100,1
50000,127,0.25,1,500,42366,381,1,3,1000,100,100,1
10000,128,0.25,1,100,79150,382,1,3,1000,100,100,1
25000,128,0.25,1,250,3644,383,1,3,1000,100,100,1
50000,128,0.25,1,500,99712,384,1,3,1000,100,100,1
10000,129,0.25,1,100,75596,385,1,3,1000,100,100,1
25000,129,0.25,1,250,95954,386,1,3,1000,100,100,1
50000,129,0.25,1,500,21036,387,1,3,1000,100,100,1
10000,130,0.25,1,100,95866,388,1,3,1000,100,100,1
25000,130,0.25,1,250,94559,389,1,3,1000,100,100,1
50000,130,0.25,1,500,9751,390,1,3,1000,100,100,1
10000,131,0.25,1,100,88520,391,1,3,1000,100,100,1
25000,131,0.25,1,250,66457,392,1,3,1000,100,100,1
50000,131,0.25,1,500,49438,393,1,3,1000,100,100,1
10000,132,0.25,1,100,64878,394,1,3,1000,100,100,1
25000,132,0.25,1,250,50964,395,1,3,1000,100,100,1
50000,132,0.25,1,500,83587,396,1,3,1000,100,100,1
10000,133,0.25,1,100,24093,397,1,3,1000,100,100,1
25000,133,0.25,1,250,54640,398,1,3,1000,100,100,1
50000,133,0.25,1,500,40971,399,1,3,1000,100,100,1
10000,134,0.25,1,100,83226,400,1,3,1000,100,100,1
25000,134,0.25,1,250,49164,401,1,3,1000,100,100,1
50000,134,0.25,1,500,75699,402,1,3,1000,100,100,1
10000,135,0.25,1,100,46274,403,1,3,1000,100,100,1
25000,135,0.25,1,250,14222,404,1,3,1000,100,100,1
50000,135,0.25,1,500,85410,405,1,3,1000,100,100,1
10000,136,0.25,1,100,74658,406,1,3,1000,100,100,1
25000,136,0.25,1,250,62644,407,1,3,1000,100,100,1
50000,136,0.25,1,500,47241,408,1,3,1000,100,100,1
10000,137,0.25,1,100,55521,409,1,3,1000,100,100,1
25000,137,0.25,1,250,10646,410,1,3,1000,100,100,1
50000,137,0.25,1,500,49929,411,1,3,1000,100,100,1
10000,138,0.25,1,100,71675,412,1,3,1000,100,100,1
25000,138,0.25,1,250,41638,413,1,3,1000,100,100,1
50000,138,0.25,1,500,82266,414,1,3,1000,100,100,1
10000,139,0.25,1,100,89917,415,1,3,1000,100,100,1
25000,139,0.25,1,250,98594,416,1,3,1000,100,100,1
50000,139,0.25,1,500,41984,417,1,3,1000,100,100,1
10000,140,0.25,1,100,21793,418,1,3,1000,100,100,1
25000,140,0.25,1,250,44115,419,1,3,1000,100,100,1
50000,140,0.25,1,500,36941,420,1,3,1000,100,100,1
10000,141,0.25,1,100,73721,421,1,3,1000,100,100,1
25000,141,0.25,1,250,27510,422,1,3,1000,100,100,1
50000,141,0.25,1,500,92758,423,1,3,1000,100,100,1
10000,142,0.25,1,100,55543,424,1,3,1000,100,100,1
25000,142,0.25,1,250,14776,425,1,3,1000,100,100,1
50000,142,0.25,1,500,86655,426,1,3,1000,100,100,1
10000,143,0.25,1,100,45560,427,1,3,1000,100,100,1
25000,143,0.25,1,250,2785,428,1,3,1000,100,100,1
50000,143,0.25,1,500,64009,429,1,3,1000,100,100,1
10000,144,0.25,1,100,84114,430,1,3,1000,100,100,1
25000,144,0.25,1,250,95490,431,1,3,1000,100,100,1
50000,144,0.25,1,500,88591,432,1,3,1000,100,100,1
10000,145,0.25,1,100,16768,433,1,3,1000,100,100,1
25000,145,0.25,1,250,17017,434,1,3,1000,100,100,1
50000,145,0.25,1,500,22160,435,1,3,1000,100,100,1
10000,146,0.25,1,100,50398,436,1,3,1000,100,100,1
25000,146,0.25,1,250,99325,437,1,3,1000,100,100,1
50000,146,0.25,1,500,6853,438,1,3,1000,100,100,1
10000,147,0.25,1,100,18153,439,1,3,1000,100,100,1
25000,147,0.25,1,250,92588,440,1,3,1000,100,100,1
50000,147,0.25,1,500,432,441,1,3,1000,100,100,1
10000,148,0.25,1,100,94334,442,1,3,1000,100,100,1
25000,148,0.25,1,250,11307,443,1,3,1000,100,100,1
